label,success,failureMessage,URL
Get upgrade eligibility for user - 447521008974,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447521008974
Get upgrade eligibility for user - 447521124848,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447521124848
Get upgrade eligibility for user - 447521124892,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447521124892
Get upgrade eligibility for user - 447521125015,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447521125015
Get upgrade eligibility for user - 447521125035,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447521125035
Get upgrade eligibility for user - 447801007526,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801007526
Get upgrade eligibility for user - 447801007558,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801007558
Get upgrade eligibility for user - 447801007569,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801007569
Get upgrade eligibility for user - 447801007908,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801007908
Get upgrade eligibility for user - 447801007973,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801007973
Get upgrade eligibility for user - 447801427139,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801427139
Get upgrade eligibility for user - 447801427253,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801427253
Get upgrade eligibility for user - 447801427275,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801427275
Get upgrade eligibility for user - 447801445682,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801445682
Get upgrade eligibility for user - 447801445732,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801445732
Get upgrade eligibility for user - 447801445811,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801445811
Get upgrade eligibility for user - 447801445845,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801445845
Get upgrade eligibility for user - 447801800017,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800017
Get upgrade eligibility for user - 447801800022,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800022
Get upgrade eligibility for user - 447801800049,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800049
Get upgrade eligibility for user - 447801800057,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800057
Get upgrade eligibility for user - 447801800182,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800182
Get upgrade eligibility for user - 447801800254,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800254
Get upgrade eligibility for user - 447801800723,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801800723
Get upgrade eligibility for user - 447801801009,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801009
Get upgrade eligibility for user - 447801801021,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801021
Get upgrade eligibility for user - 447801801034,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801034
Get upgrade eligibility for user - 447801801262,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801262
Get upgrade eligibility for user - 447801801371,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801371
Get upgrade eligibility for user - 447801801456,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801456
Get upgrade eligibility for user - 447801801458,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801458
Get upgrade eligibility for user - 447801801503,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801503
Get upgrade eligibility for user - 447801801510,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801510
Get upgrade eligibility for user - 447801801518,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447801801518
Get upgrade eligibility for user - 447803000647,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447803000647
Get upgrade eligibility for user - 447803000684,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447803000684
Get upgrade eligibility for user - 447803001064,true,,https://ecom-ref-app00.ref.o2.co.uk:9443/customerService/upgradeEligibility/447803001064
